source,target,weight,direction,color,size
Plasma B cell,IGLC1,0.828214230360717,up,#2ca02c,1.656428460721434
Plasma B cell,IFNG-AS1,0.809733945925157,down,#1f77b4,1.619467891850314
Plasma B cell,IGHV3-23,0.804262668170957,up,#2ca02c,1.608525336341914
Plasma B cell,RBM3,0.801999468665546,up,#2ca02c,1.603998937331092
Plasma B cell,IGLC3,0.794608132678564,down,#1f77b4,1.589216265357128
Plasma B cell,OSBPL10,0.778978769289158,down,#1f77b4,1.557957538578316
Plasma B cell,MT-ATP8,0.746229992245987,down,#1f77b4,1.492459984491974
Plasma B cell,JCHAIN,0.738235397061672,down,#1f77b4,1.476470794123344
Plasma B cell,ZBTB20,0.730693028344713,down,#1f77b4,1.461386056689426
Plasma B cell,IGHV3-30,0.730020546346233,down,#1f77b4,1.460041092692466
